,protocol,nav,ap_from_other_sum_ant_rssi,sta_to_self_sum_ant_rssi,sta_to_other_sum_ant_rssi,sta_from_self_sum_ant_rssi,sta_from_other_sum_ant_rssi,sta_from_sta_rssi,nss,mcs,per,seq_time,pro_pd,pro_ed,pro_nav,state,phy,ppdu_dur
12,1,-82,-82.20833333,-67.91397849,-85.39215686,-67.4,-92,-78,2,8,0.06,47.68,0,0,0,1,206.5,0.003915105
14,0,-82,-82.20833333,-67.91397849,-85.39215686,-67.4,-92,-78,2,8,0.05,49.98,0,0,0,1,206.5,0.003862518
16,1,-82,-80.91397849,-67.13483146,-84.61764706,-65.7,-92,-78,2,9,0.07,46.34,0.010526316,0.010526316,0.010638298,1,229.4,0.004137962
18,0,-82,-80.91397849,-67.13483146,-84.61764706,-65.7,-92,-78,2,9,0.07,49.51,0.010526316,0.010526316,0.010638298,1,229.4,0.002701023
20,1,-82,-80.11827957,-67.4787234,-86.35294118,-64.5,-92,-78,2,9,0.05,46.7,0,0,0,1,229.4,0.002715237
22,0,-82,-80.11827957,-67.4787234,-86.35294118,-64.5,-92,-78,2,9,0.04,48.12,0,0,0,1,229.4,0.004004403
24,1,-82,-78.73404255,-67.68181818,-85.62962963,-63.9,-92,-78,2,9,0.04,47.92,0.031914894,0,0,1,229.4,0.004047531
26,0,-82,-78.73404255,-67.68181818,-85.62962963,-63.9,-92,-78,2,9,0.04,50.3,0.031914894,0,0,1,229.4,0.003952655
28,1,-82,-77.38202247,-67.19318182,-84.86046512,-62.85,-92,-78,2,9,0.07,46.84,0.139784946,0.010752688,0.011111111,1,229.4,0.003860784
30,0,-82,-77.38202247,-67.19318182,-84.86046512,-62.85,-92,-78,2,9,0.03,49.54,0.139784946,0.010752688,0.011111111,1,229.4,0.004119908
32,1,-82,-76.97647059,-67.81052632,-85.13888889,-62,-92,-78,2,9,0.05,49.46,0.223529412,0.023529412,0.023529412,1,229.4,0.004042947
34,0,-82,-76.97647059,-67.81052632,-85.13888889,-62,-92,-78,2,9,0.04,49.04,0.223529412,0.023529412,0.023529412,1,229.4,0.003738825
36,1,-82,-76.89772727,-67.68817204,-84.90909091,-61.55,-92,-78,2,9,0.08,45.41,0.375,0,0.011363636,1,229.4,0.003676476
38,0,-82,-76.89772727,-67.68817204,-84.90909091,-61.55,-92,-78,2,9,0.07,48.61,0.375,0,0.011363636,1,229.4,0.00399286
40,1,-82,-76.21686747,-67.36363636,-84.85294118,-60.6,-92,-78,2,10,0.08,48.06,0.752941176,0,0.011904762,2,258.1,0.003996234
42,0,-82,-76.21686747,-67.36363636,-84.85294118,-60.6,-92,-78,2,10,0.08,48.03,0.752941176,0,0.011904762,2,258.1,0.003587534
44,1,-82,-74.60240964,-67.67368421,-83.64444444,-59.75,-92,-78,2,10,0.08,46.15,0.952380952,0,0.108433735,2,258.1,0.003589392
46,0,-82,-74.60240964,-67.67368421,-83.64444444,-59.75,-92,-78,2,10,0.07,49.84,0.952380952,0,0.108433735,2,258.1,0.003898379
48,1,-82,-74.22093023,-67.85393258,-83.62068966,-58.6,-92,-78,2,10,0.07,46.05,0.91954023,0,0.390804598,2,258.1,0.004020986
50,0,-82,-74.22093023,-67.85393258,-83.62068966,-58.6,-92,-78,2,10,0.05,45.63,0.91954023,0,0.390804598,2,258.1,0.003560422
52,1,-82,-73.43037975,-67.73333333,-83.81818182,-57.85,-83,-78,2,10,0.05,41.52,0.938271605,0,0.82278481,0,258.1,0.003572392
54,0,-82,-73.43037975,-67.73333333,-83.81818182,-57.85,-83,-78,2,10,0.05,42.96,0.938271605,0,0.82278481,0,258.1,0.00399638
56,1,-82,-72.14285714,-67.76595745,-85.46153846,-56.7,-82.3,-78,2,10,0.07,34.78,0.976470588,0,0.905882353,0,258.1,0.003875699
58,0,-82,-72.14285714,-67.76595745,-85.46153846,-56.7,-82.3,-78,2,10,0.08,31.76,0.976470588,0,0.905882353,0,258.1,0.003503245
60,1,-82,-72.14634146,-67.64835165,-84.88,-55.95,-92,-78,2,11,0.08,31.39,0.927710843,0,0.817073171,0,286.8,0.003617259
62,0,-82,-72.14634146,-67.64835165,-84.88,-55.95,-92,-78,2,11,0.08,30.76,0.927710843,0,0.817073171,0,286.8,0.003807924
64,1,-82,-70.2375,-68.09375,-81.67857143,-54.9,-75,-78,2,11,0.08,29.29,0.963414634,0,0.95,0,286.8,0.004077983
66,0,-82,-70.2375,-68.09375,-81.67857143,-54.9,-75,-78,2,11,0.05,34.58,0.963414634,0,0.95,0,286.8,0.003618571
68,1,-82,-69.51190476,-67.50537634,-83.82758621,-53.425,-75.5,-78,2,11,0.08,26.82,0.964705882,0,0.928571429,0,286.8,0.003634877
70,0,-82,-69.51190476,-67.50537634,-83.82758621,-53.425,-75.5,-78,2,11,0.07,27.81,0.964705882,0,0.928571429,0,286.8,0.003506984
72,1,-82,-68.5308642,-67.52747253,-83.02380952,-52.6,-74.75862069,-78,2,11,0.06,28.3,0.987654321,0,0.987654321,0,286.8,0.003580493
74,1,-82,-69.0875,-67.78494624,-79.875,-52.55,-74.94594595,-78,2,11,0.06,26.98,0.925925926,0,0.888888889,0,286.8,0.00415766
76,0,-82,-69.0875,-67.78494624,-79.875,-52.55,-74.94594595,-78,2,11,0.03,47.22,0.925925926,0,0.888888889,0,286.8,0.001577894
